类型,名称,出处,片段
概念,Relugolix (RLGL),paper_295_39886543,位置: 前言 / chunk 0 | 证据: Relugolix (RLGL) is an orally active non-peptide gonadotropin-releasing hormone receptor antagonist used in the treatment of various sex hormone-related disorders.
概念,Self-microemulsifying drug delivery system (SMEDDS),paper_295_39886543,位置: 前言 / chunk 0 | 证据: Self-microemulsifying drug delivery system (SMEDDS) has gained wide attention for its ability to improve the oral bioavailability of poorly water-soluble or lipophilic drugs.
概念,RLGL-S-SMEDDS,paper_295_39886543,位置: 前言 / chunk 0 | 证据: A solid self-microemulsifying drug delivery system of relugolix (RLGL-S-SMEDDS) was selected by solubility study and Design-Expert optimization design.
关系,Relugolix | low_oral_bioavailability | poor water solubility,paper_295_39886543,"位置: 前言 / chunk 0 | 证据: Relugolix has higher biosafety and efficacy than leuprolide, but its poor water solubility leads to low oral bioavailability."
概念,Prostate cancer,paper_295_39886543,位置: 前言 / chunk 0 | 证据: Prostate cancer is the most common cancer and the second leading cause of cancer deaths in men.
概念,Endometriosis,paper_295_39886543,位置: 前言 / chunk 0 | 证据: About 10% of women at childbearing age suffer from endometriosis.
关系,Relugolix | first_line_drug_for | prostate cancer and endometriosis,paper_295_39886543,"位置: 前言 / chunk 0 | 证据: Leuprolide is the first-line drug for these diseases, but it has toxic side effects and low efficacy. Relugolix is an orally active non-peptide gonadotropin-releasing hormone receptor antagonist used in the treatment of various sex hormone-related disorders."
概念,"Formulation components: Ethyl Oleate, Solutol HS15, Transcutol HP",paper_295_39886543,"位置: Results and Discussion / chunk 7 | 证据: The optimal formulations were as follows: Ethyl Oleate at 26% (w/w), Solutol HS15 at 49% (w/w), and Transcutol HP at 25% (w/w)."
概念,Particle size of RLGL-SMEDDS,paper_295_39886543,位置: Results and Discussion / chunk 8 | 证据: The particle size of RLGL-SMEDDS is 23.84 ± 0.43 nm.
概念,Caco-2 cell uptake,paper_295_39886543,位置: Results and Discussion / chunk 10 | 证据: The uptake of COU-S-SMEDDS is three times higher than that of free COU by Caco-2 cells.
关系,Solutol HS15 | inhibits | P-glycoprotein efflux,paper_295_39886543,"位置: Results and Discussion / chunk 7 | 证据: Solutol HS 15 has an inhibitory effect on p-gp, and Transcutol HP has the best effect on improving oral bioavailability of RLGL."
概念,"Pharmacokinetic parameters: Cmax, AUC",paper_295_39886543,"位置: Results and Discussion / chunk 11 | 证据: At the same RLGL dose, the maximum plasma concentration (Cmax) of the RLGL-S-SMEDDS was 1192.807 μg/L vs 371.299 μg/L for suspension; AUC(0-t) was 6506.397 μg/L·h vs 3398.266 μg/L·h."
关系,RLGL-S-SMEDDS | increases | oral bioavailability,paper_295_39886543,位置: Conclusion / chunk 12 | 证据: The solid self-microemulsion prepared in this study can improve oral bioavailability of RLGL and provide a new method for clinical application.
概念,Biosafety of excipients,paper_295_39886543,"位置: Results and Discussion / chunk 10 | 证据: The excipients used in this prescription are relatively safe. They have been reported to be widely used in the food, cosmetic or pharmaceutical industries."
