subject,predicate,object,source_section,source_chunk,context_text,出处
:Solutol_HS15,:Inhibits,:Pglycoprotein_Efflux,Results and Discussion,7,"Solutol HS 15 has an inhibitory effect on p-gp, and Transcutol HP has the best effect on improving oral bioavailability of RLGL.",paper_295_39886543
:RLGLSSMEDDS,:Increases,:Oral_Bioavailability,Conclusion,12,The solid self-microemulsion prepared in this study can improve oral bioavailability of RLGL and provide a new method for clinical application.,paper_295_39886543
:Nanovesicles,:Increases,:Bioavailability,Introduction,0,Nanovesicles (NVs) have attracted substantial attention for their capacity to increase the bioavailability of active medicinal substances,paper_334_39861720
:Pulmonary_Cystic_Fibrosis,:Caused_By,:Nuclear_Gene_Mutations,前言,0,"...based on whether they involve mutations in nuclear genes, as it occurs in diseases such as pulmonary cystic fibrosis (CF)...",paper_139_39861752
:Retinitis_Pigmentosa,:Caused_By,:Mitochondrial_Gene_Mutations,前言,0,"...or in mitochondrial genes, as in retinitis pigmentosa (RP) [4].",paper_139_39861752
:Relugolix,:First_Line_Drug_For,:Prostate_Cancer_And_Endometriosis,前言,0,"Leuprolide is the first-line drug for these diseases, but it has toxic side effects and low efficacy. Relugolix is an orally active non-peptide gonadotropin-releasing hormone receptor antagonist used in the treatment of various sex hormone-related disorders.",paper_295_39886543
:Gene_Therapy,:Addresses,:Monogenic_Disorders,前言,0,...gene therapy has appeared as a promising approach for addressing genetic diseases...,paper_139_39861752
:SETD2_Mutation,:Associated_With,:Reduced_Survival_And_Greater_Metastatic_Propensity,摘要,0,"Mutations in SETD2, a histone H3 lysine associated with reduced survival, greater metastatic propensity.",paper_966_39874221
:Obesity,:Associated_With,:Severe_COVID19_Outcomes,前言,0,Clinical studies consistently show that obesity is associated with an elevated risk of adverse COVID-19 outcomes,paper_817_39861827
:Previous_Antibiotic_Therapy,:Increases_Risk_Of,:MDR_ECC,Discussion,4,"Previous antibiotic therapy increases the risk of MDR ECC (OR = 3.193, P < 0.020)",paper_897_39867289
:ICU_Admission,:Independent_Risk_Factor_For,:Polymicrobial_Bacteremia,Discussion,4,ICU admission is an independent risk factor for polymicrobial bacteremia,paper_897_39867289
:STAT,:Regulates,:Immune_Response,Major Model Organisms for Silk Protein Production,1,the transcription factor STAT plays a pivotal role in the immune response of silkworms.,paper_187_39881670
:TiO2_Nanoparticles,:Modulates,:Inflammasome_Response,Conclusion,13,Our study confirmed that TiO2 P25 had a non-negligible modulatory effect on primary monocytes in their inflammasome-based responses.,paper_572_39902067
:Rare_Monogenic_Disorders,:Incidence,:Less_Than_05,前言,0,Rare monogenic disorders are conditions with an individual incidence of less than 0.5‰...,paper_139_39861752
:Overall_Mortality_Rate,:Value,:143,Discussion,6,"the overall ICU admission and the mortality rates were reasonably low (14.3% and 4.8%, respectively)",paper_146_39861829
:IGF2BP3,:相互作用,:HMGA1,Discussion,7,Co-IP study indicated that IGF2BP had interaction with HMGA1 on Ishikawa cells,paper_577_39878052
:AntiHBspositive_Status,:Protective_Factor_Against,:HBV_Reactivation,前言,0,anti-HBs-positive serological status as a protective factor,paper_146_39861829
:HPVassociated_SCC,:Has_Outcome,:Improved_Outcomes,摘要,0,A growing proportion of patients with HPV-associated SCC have improved outcomes but continue to have a heterogenous response to treatment.,paper_671_39867572
:Silkworm,:Produces,:Silk,Major Model Organisms for Silk Protein Production,0,The silkworm not only produces silk for cocoon formation but also has its larval excretions applied in traditional Chinese medicine.,paper_187_39881670
:Sericin,:Enhances,:Silk_Strength_And_Toughness,Major Model Organisms for Silk Protein Production,0,Sericin... plays a crucial role in enhancing the strength and toughness of silk threads.,paper_187_39881670
:化合物_6c,:具有,:体内抗肿瘤活性,Discussion,7,the xenograft tumor model confirmed the significant activity of 6c in vivo,paper_113_39881675
:HMGA1,:对至关重要,:顺铂耐药,Discussion,8,demonstrate that HMGA1 is essential for cisplatin resistance and EC cell growth,paper_577_39878052
:SETD2_Deficient_Cells,:Are_Sensitive_To,:METTL3_Loss,Discussion,13,"SETD2 deficient cells were preferentially sensitive to METTL3 loss, potentially through an impact on key metabolic processes.",paper_966_39874221
:气候变化,:Involves_Mechanism,:肺部炎症,摘要,0,Potential pathophysiological mechanisms linking climate change and increased risk of CRD involved pulmonary inﬂammation,paper_917_39880611
:SETD2_Deficiency,:Causes,:Metabolic_Shift_To_Oxidative_Phosphorylation_And_Fatty_Acid_Oxidation,Discussion,13,"SETD2 loss-of-function alters pathways regulating energy metabolism, resulting in a shift toward increased oxidative phosphorylation and fatty acid β-oxidation.",paper_966_39874221
:METTL3_Inhibition,:Reverses,:Metabolic_Reprogramming_In_SETD2_Deficient_Cells,Discussion,13,The gene expression patterns signaling metabolic reprogramming in SETD2 deficient ccRCC... are reversed through pharmacologic inhibition or genetic depletion of METTL3 in SETD2 KO 786-O cells.,paper_966_39874221
:Cholesterol,:Stabilizes,:Membrane,Results and Discussion,13,"Furthermore, cholesterol stabilized the membrane by adjusting the vesicle bilayer’s stiffness and fluidity",paper_334_39861720
:CSNop,:Extends,:Halflife,Results and Discussion,18,CS.Nop has shown a longer t1/2 and delayed Tmax,paper_334_39861720
:Nanotechnology,:Impacts,:Pharmaceutical_Industry,前言,1,Advances in nanotechnology have had a significant impact on the pharmaceutical industry,paper_14_39861768
:Circulating_Tumor_DNA,:Enables,:Disease_Monitoring,摘要,0,Advances in the platforms and assays measuring circulating tumor DNA offer an opportunity to monitor disease status at the molecular level.,paper_671_39867572
