source_id,source_name,target_id,target_name,relation_type,evidence,source_paper_id,source_paper
ent_03c1e106,E-Prime software,,Tool,IS_A,,,
ent_061536bd,distinct advantages,,Concept,IS_A,,,
ent_068a20fd,Success rate,ent_cf948c7a,83.3%,IS,The results in Table 2 show that the subjects achieved a success rate of 83.3%,,1_10.1109_ACCESS.2018.2825378
ent_068a20fd,Success rate,,Metric,IS_A,,,
ent_0a64d4f5,SSVEP recognition,,Task,IS_A,,,
ent_0c7a3bae,Experimental protocol,ent_c2a61975,six runs,CONSISTS_OF,The experimental protocol consisted of six runs.,,1_10.1109_ACCESS.2018.2827023
ent_0c7a3bae,Experimental protocol,,Concept,IS_A,,,
ent_0c8c3685,Canonical Correlation Analysis,ent_0a64d4f5,SSVEP recognition,USED_FOR,"For the SSVEP recognition, canonical correlation analysis (CCA) was ﬁrst introduced by Lin et al. [14]",,1_10.1109_ACCESS.2018.2825378
ent_0c8c3685,Canonical Correlation Analysis,,Method,IS_A,,,
ent_12cd2df0,Epoching,ent_55e0d5b5,haptic profiles and common average reference methods,WAS_EMPLOYED_BASED_ON,Epoching based on haptic proﬁles and common average reference methods was employed [29].,,1_10.1109_ACCESS.2018.2827023
ent_12cd2df0,Epoching,,Method,IS_A,,,
ent_12de27fd,emotional and cognitive processes,,Concept,IS_A,,,
ent_15c97783,EEG acquisition device,ent_6567e11a,Emotiv Epoc,WAS,"The EEG acquisition device was a low-cost commercial EEG acquisition headset (Emotiv Epoc, US).",,1_10.1109_ACCESS.2018.2825378
ent_15c97783,EEG acquisition device,,Tool,IS_A,,,
ent_17eb4fe4,EEG-based haptic preference measurement technique,ent_99b0c32f,novel,DEVELOPED,"In conclusion, we developed a novel EEG-based haptic preference measurement technique, which provides the advantage of observing changes in tasks without the influence of the survey environment.",,1_10.1109_ACCESS.2018.2827023
ent_17eb4fe4,EEG-based haptic preference measurement technique,,Method,IS_A,,,
ent_194dc6fa,AR Drone 2.0,ent_30054d2c,physical navigation experiment,USED_IN,AR Drone 2.0 quadcopter...was used in the physical navigation experiment.,,1_10.1109_ACCESS.2018.2825378
ent_194dc6fa,AR Drone 2.0,,Tool,IS_A,,,
ent_197261b4,decision-making,,Concept,IS_A,,,
ent_1ea40c7f,Ng et al.,ent_8ca24c0c,visual-evoked amplitude increases with more distant proximity,FOUND,Ng et al. found that visual-evoked amplitude increases with more distant proximity from 2° to 7° among stimuli.,,1_10.1109_ACCESS.2018.2825378
ent_1ea40c7f,Ng et al.,,Finding,IS_A,,,
ent_21dbeb6f,an amended metric from Fitt’s Law,,Concept,IS_A,,,
ent_22cf50f7,Haptic dial interface system,ent_a6c3daa1,haptic preferences,EVALUATES,Fig. 1 shows the block diagram of the haptic dial interface system used to evaluate haptic preferences.,,1_10.1109_ACCESS.2018.2827023
ent_22cf50f7,Haptic dial interface system,,Tool,IS_A,,,
ent_24b607b7,Wearable SSVEP-Based BCI System,ent_ef7bd5af,Quadcopter Control,USED_FOR,Wearable SSVEP-Based BCI System for Quadcopter Control,,1_10.1109_ACCESS.2018.2825378
ent_24b607b7,Wearable SSVEP-Based BCI System,,Tool,IS_A,,,
ent_25d33b83,broad application prospects,,Concept,IS_A,,,
ent_26403a25,Quadcopter,ent_4ac795b6,head along the facing line,HAS,the head of the quadcopter was along the facing line in Fig. 1(d).,,1_10.1109_ACCESS.2018.2825378
ent_26403a25,Quadcopter,,Concept,IS_A,,,
ent_282bdee2,Yaw angle,ent_c4ad29cb,search process,SHOULD_BE_CONTROLLED_IN,"the yaw angle should be controlled precisely in the search process, to aim at the target.",,1_10.1109_ACCESS.2018.2825378
ent_282bdee2,Yaw angle,,Concept,IS_A,,,
ent_2bbd4abf,Frontal alpha-band oscillations,ent_97c64de2,affective valence,HAVE_BEEN_IMPLICATED_IN,"Frontal alpha-band oscillations have also been implicated in affective valence [31], [32].",,1_10.1109_ACCESS.2018.2827023
ent_2bbd4abf,Frontal alpha-band oscillations,,Concept,IS_A,,,
ent_2c8bda6d,high portability; powerful computational ability,,Finding,IS_A,,,
ent_2dd69ac2,Gamma-band oscillations,ent_2f59b302,sensory-cognitive dynamics and emotions,ARE_CORRELATED_WITH,Başar reported that sensory-cognitive dynamics and emotions are also correlated with gamma band oscillations [43].,,1_10.1109_ACCESS.2018.2827023
ent_2dd69ac2,Gamma-band oscillations,ent_6d8c5678,visual valence,HAS_BEEN_SHOWN_TO_VARY_WITH,"In particular, the gamma band of 30-50 Hz has been shown to vary with visual valence [16].",,1_10.1109_ACCESS.2018.2827023
ent_2dd69ac2,Gamma-band oscillations,ent_a6735218,object recognition and perception processing,ARE_ASSOCIATED_WITH,Previous studies have reported that object recognition and perception processing are associated with gamma band oscillations [44]–[47].,,1_10.1109_ACCESS.2018.2827023
ent_2dd69ac2,Gamma-band oscillations,ent_a6c3daa1,haptic preferences,WERE_RELATED_TO,We investigated whether gamma-band oscillations were related to haptic preferences.,,1_10.1109_ACCESS.2018.2827023
ent_2dd69ac2,Gamma-band oscillations,ent_e5be3045,cognitive processes,ARE_RELATED_TO,"Gamma band oscillations are related to cognitive processes, including attention, arousal, object recognition, and language perception [42].",,1_10.1109_ACCESS.2018.2827023
ent_2dd69ac2,Gamma-band oscillations,,Concept,IS_A,,,
ent_2f59b302,sensory-cognitive dynamics and emotions,,Concept,IS_A,,,
ent_2f8dd041,Quadcopter BCI control,ent_b1455382,Lafleur et al.,WAS_ACHIEVED_BY,Lafleur et al. achieved quadcopter BCI control in 3D physical space based on motor imagery.,,1_10.1109_ACCESS.2018.2825378
ent_2f8dd041,Quadcopter BCI control,,Task,IS_A,,,
ent_30054d2c,physical navigation experiment,,Task,IS_A,,,
ent_3650b9a0,TMS 320 F 28335 digital signal processor controller,ent_6f40067b,moment of dial rotation,DETECTS,The TMS 320 F 28335 digital signal processor controller was used to detect the moment of dial rotation following the dial task cue.,,1_10.1109_ACCESS.2018.2827023
ent_3650b9a0,TMS 320 F 28335 digital signal processor controller,,Tool,IS_A,,,
ent_3a30e557,4.6 bits/min,,Concept,IS_A,,,
ent_3ac16e08,HMD,ent_2c8bda6d,high portability; powerful computational ability,HAS_ADVANTAGES,We want to remark that the usage of the HMD is a natural way to facilitate the portability of SSVEP BCI... 1. high portability; 2. a powerful ability in computation that could support signal processing.,,1_10.1109_ACCESS.2018.2825378
ent_3ac16e08,HMD,ent_dcf79aec,providing immersive experience,ENGAGES_SUBJECT_BETTER_BY,The enclosed view field of HTC VIVE brings another advantage: immersion. It has been proven that such an HMD device could engage the subject better by providing an immersive experience.,,1_10.1109_ACCESS.2018.2825378
ent_3ac16e08,HMD,,Tool,IS_A,,,
ent_3b40ae88,HTC VIVE,ent_63343721,for displaying a 3D virtual scene,USED,The HMD used in this work was HTC VIVE (HTC and Valve Corporation). The HMD displayed a 3D virtual scene.,,1_10.1109_ACCESS.2018.2825378
ent_3b40ae88,HTC VIVE,,Tool,IS_A,,,
ent_3f90275c,Sense of touch,ent_4b3aeecb,decision-making process,INFLUENCES,"Even though the sense of touch may not seem to be directly related to decision-making, it has been shown to influence the process and induce emotions.",,1_10.1109_ACCESS.2018.2827023
ent_3f90275c,Sense of touch,,Concept,IS_A,,,
ent_3fa07db7,ITR proposed in this work,ent_21dbeb6f,an amended metric from Fitt’s Law,IS,"In experiment II, the ITR proposed in this work is an amended metric from Fitt’s Law for the asynchronous BCI task by considering the search process at the same time.",,1_10.1109_ACCESS.2018.2825378
ent_3fa07db7,ITR proposed in this work,,Metric,IS_A,,,
ent_43677081,Raw signal,ent_c31fbbd7,2-43 Hz,FILTERED_TO,The raw signal was ﬁrst ﬁltered to 2-43 Hz by a Butterworth ﬁlter built in Matlab.,,1_10.1109_ACCESS.2018.2825378
ent_43677081,Raw signal,,Concept,IS_A,,,
ent_4570740a,EEG signal processing,ent_9370dc54,customized mixed program between C++ and Matlab,IMPLEMENTED_BY,"The EEG signal processing was implemented by a customized mixed program between C++ and Matlab (Mathworks, Natick, MA).",,1_10.1109_ACCESS.2018.2825378
ent_4570740a,EEG signal processing,,Task,IS_A,,,
ent_462e49e3,0.73 s,,Concept,IS_A,,,
ent_4764a5f2,online accuracy in experiment I,ent_5b9faac4,78%,ACHIEVED,The online accuracy in experiment I achieved 78% after removing the transitional EEG signal in general.,,1_10.1109_ACCESS.2018.2825378
ent_4764a5f2,online accuracy in experiment I,,Metric,IS_A,,,
ent_4ac795b6,head along the facing line,,Concept,IS_A,,,
ent_4b3aeecb,decision-making process,,Concept,IS_A,,,
ent_5298e747,a reliable approach for BCI use,,Finding,IS_A,,,
ent_530cc657,synchronous BCI,,Method,IS_A,,,
ent_5371c903,information transfer rate of up to 5.32 bits/s,ent_3a30e557,4.6 bits/min,IS,4.6 bits/min across the subjects and targets on average,,1_10.1109_ACCESS.2018.2825378
ent_5371c903,information transfer rate of up to 5.32 bits/s,,Metric,IS_A,,,
ent_55d07ae5,navigation of a flight under physical 3D space,,Task,IS_A,,,
ent_55e0d5b5,haptic profiles and common average reference methods,,Concept,IS_A,,,
ent_5926f79a,EEG data,ent_8a0d9271,EEGLAB,WERE_PREPROCESSED_USING,The recorded data were preprocessed using EEGLAB [26].,,1_10.1109_ACCESS.2018.2827023
ent_5926f79a,EEG data,,Dataset,IS_A,,,
ent_5b9faac4,78%,,Concept,IS_A,,,
ent_5c6ed452,1 to 5,,Concept,IS_A,,,
ent_5e3c9e67,portable and practical,,Finding,IS_A,,,
ent_62be1196,Mean accuracy,ent_5b9faac4,78%,IS,The mean accuracy during steady state is 78%,,1_10.1109_ACCESS.2018.2825378
ent_62be1196,Mean accuracy,,Metric,IS_A,,,
ent_62d46dd4,Frontal gamma band oscillations,ent_e1e30fe6,HPS,CORRELATED_WITH,The findings suggest that the frontal gamma band oscillations are significantly correlated with HPS during both the early and the decision periods of the dial task.,,1_10.1109_ACCESS.2018.2827023
ent_62d46dd4,Frontal gamma band oscillations,,Finding,IS_A,,,
ent_63343721,for displaying a 3D virtual scene,,Concept,IS_A,,,
ent_6567e11a,Emotiv Epoc,,Tool,IS_A,,,
ent_6d8c5678,visual valence,,Concept,IS_A,,,
ent_6f40067b,moment of dial rotation,,Concept,IS_A,,,
ent_755e01c8,BCI system,ent_b12ff7a2,keyboard,CONSUMES_MORE_TIME_COMPARED_TO,"Therefore, the more time that the BCI system consumes compared to the keyboard, the more errors and the lower continuity the BCI navigation exhibits.",,1_10.1109_ACCESS.2018.2825378
ent_755e01c8,BCI system,,Method,IS_A,,,
ent_7e26fce7,Time efficiency,,Metric,IS_A,,,
ent_7e307466,BCI navigation,,Method,IS_A,,,
ent_7edad61c,Profile A,ent_92d92738,smallest value of Av,HAS,"Among the four profiles, profile A had the smallest value of Av and the largest value of 's.'",,1_10.1109_ACCESS.2018.2827023
ent_7edad61c,Profile A,,Concept,IS_A,,,
ent_87479ff8,largest value of Av,,Concept,IS_A,,,
ent_8a0d9271,EEGLAB,,Tool,IS_A,,,
ent_8bb55ce7,SSVEP-based BCI system,ent_55d07ae5,navigation of a flight under physical 3D space,ENABLES,The proposed interface enables both disabled and capable people to navigate a flight under physical 3D space in an efficient manner.,,1_10.1109_ACCESS.2018.2825378
ent_8bb55ce7,SSVEP-based BCI system,ent_f8cdc50a,wearable HMD as the display device,CONSTRUCTED_WITH,"In the present work, we constructed an SSVEP-based BCI system, which took the wearable HMD as the display device to navigate the quadcopter with an asynchronous switch approach.",,1_10.1109_ACCESS.2018.2825378
ent_8bb55ce7,SSVEP-based BCI system,,Tool,IS_A,,,
ent_8ca24c0c,visual-evoked amplitude increases with more distant proximity,,Finding,IS_A,,,
ent_8ddd007a,Right side of the prefrontal lobe,ent_e2897506,feeling-of-knowing judgments,ASSOCIATED_WITH,"Other studies have also reported that the right side of the prefrontal lobe is associated with feeling-of-knowing judgments, in addition to positive and negative valence emotions.",,1_10.1109_ACCESS.2018.2827023
ent_8ddd007a,Right side of the prefrontal lobe,,Concept,IS_A,,,
ent_8fa6c470,Chien et al.,ent_bd3392c5,higher SNR of SSVEP with small disparity angles,FOUND,Chien et al. investigated the effect of two critical 3D factors (disparity and crosstalk) on SSVEP and found that the signal-to-noise (SNR) of small disparity angles is significantly higher than that of large disparity angles.,,1_10.1109_ACCESS.2018.2825378
ent_8fa6c470,Chien et al.,,Finding,IS_A,,,
ent_90a4dc60,Transitional duration,ent_462e49e3,0.73 s,IS,the transitional duration is 0.73 s.,,1_10.1109_ACCESS.2018.2825378
ent_90a4dc60,Transitional duration,,Metric,IS_A,,,
