source_id,source_name,target_id,target_name,relation_type,evidence,source_paper_id,source_paper
ent_009070f1,FrameNet,ent_009070f1,over 1200 semantic frames,CONTAINS,FrameNet contains over 1200 semantic frames,,paper_4
ent_009070f1,FrameNet,ent_1dc0c053,lexical knowledge bases,CATEGORIZES,FrameNet is a large lexical knowledge base which categorizes English words and sentences into higher level semantic frames,,paper_4
ent_009070f1,FrameNet,,Dataset,IS_A,,,
ent_009070f1,over 1200 semantic frames,,Concept,IS_A,,,
ent_02bfa030,Instruction-following embedder,ent_02bfa030,a system embedding with user instruction,DEFINED_AS,We introduce the definition of instruction-following embedder in this section.,,paper_5
ent_02bfa030,Instruction-following embedder,,Tool,IS_A,,,
ent_02bfa030,a system embedding with user instruction,,Concept,IS_A,,,
ent_045208e8,llama-2-7b-INBEDDER,ent_475b00bb,instruction awareness tests,PERFORMS_BETTER,Table 1: Instruction awareness tests results. The best encoding methods are shown in parentheses for each non-sentence-transformer model.,,paper_5
ent_045208e8,llama-2-7b-INBEDDER,ent_551a9bcd,traditional sentence transformers and aggregated embeddings from LLMs,OUTPERFORMS,llama-2-7b-INBEDDER outperforms both traditional sentence transformers and aggregated embeddings from LLMs on instruction-awareness tests.,,paper_5
ent_045208e8,llama-2-7b-INBEDDER,,Method,IS_A,,,
ent_0543cb9b,decoder-only transformers,ent_fba8a992,avg-gen & 1st-gen & last-gen,EXTRACT,"Besides, we extract avg-ppt from encoder and avg-gen & 1st-gen & last-gen from decoder respectively.",,paper_5
ent_0543cb9b,decoder-only transformers,,Concept,IS_A,,,
ent_064b90f9,long-distance dependencies,,Concept,IS_A,,,
ent_0a8c05ee,BANKING77,ent_475b00bb,instruction awareness tests,USED_AS_BASE_DATASET,"We use BANKING77 (Casanueva et al., 2020) test set as our base dataset to create triplets.",,paper_5
ent_0a8c05ee,BANKING77,,Dataset,IS_A,,,
ent_0a9cf07b,traditional sentence transformers on generic reranking tasks,,Finding,IS_A,,,
ent_0b4bec6c,incorporating prior knowledge from external lexical resources,ent_e4af4e66,reliance on training data,CAN_REDUCE,"A recent study (Li and Mao, 2019) shows that incorporating prior knowledge from external lexical resources into deep neural network can reduce the reliance on training data and improve relation extraction performance.",,paper_4
ent_0b4bec6c,incorporating prior knowledge from external lexical resources,,Method,IS_A,,,
ent_0b4bec6c,prior knowledge from external lexical resources,,Concept,IS_A,,,
ent_0f3762ac,CNN-based and RNN-based models,,Method,IS_A,,,
ent_14e81c5b,Direct Encoding,ent_0543cb9b,decoder-only transformers,COMPATIBILITY,The direct encoding proposed in Section 4.1 are all compatible with decoder-only transformers.,,paper_5
ent_14e81c5b,Direct Encoding,ent_51a3505f,LLM hidden states,UTILIZES,Direct Encoding directly utilizes LLM hidden states.,,paper_5
ent_14e81c5b,Direct Encoding,,Method,IS_A,,,
ent_1622b208,self-attention encoder,ent_064b90f9,long-distance dependencies,CAPTURES,"The self-attention encoder proposed by Vaswani et al. (2017) learns internal semantic features by modeling pair-wise interactions within the texts themselves, which is effective in capturing long-distance dependencies.",,paper_4
ent_1622b208,self-attention encoder,ent_329046a4,state-of-the-art,ACHIEVES,"It achieves comparable results with C-GCN and self-attention encoder, which are the current start-of-the-art single-model systems.",,paper_4
ent_1622b208,self-attention encoder,ent_6181e787,relation extraction task,APPLIED_TO,Bilan and Roth (2018) first applied self-attention encoder to relation extraction task,,paper_4
