id,name,labels,entity_type,created_at,updated_at
ent_009070f1,FrameNet,Entity;Dataset,Dataset,2026-01-26T18:25:58.166000,2026-01-26T18:25:58.242000
ent_009070f1,over 1200 semantic frames,Entity;Concept,Concept,2026-01-26T18:25:58.242000,
ent_02bfa030,Instruction-following embedder,Entity;Tool,Tool,2026-01-26T18:30:57.841000,
ent_02bfa030,a system embedding with user instruction,Entity;Concept,Concept,2026-01-26T18:30:57.841000,
ent_045208e8,llama-2-7b-INBEDDER,Entity;Method,Method,2026-01-26T18:30:58.280000,2026-01-26T18:30:58.410000
ent_0543cb9b,decoder-only transformers,Entity;Concept,Concept,2026-01-26T18:30:59.109000,2026-01-26T18:30:59.360000
ent_064b90f9,long-distance dependencies,Entity;Concept,Concept,2026-01-26T18:25:58.455000,
ent_0a8c05ee,BANKING77,Entity;Dataset,Dataset,2026-01-26T18:30:58.733000,
ent_0a9cf07b,traditional sentence transformers on generic reranking tasks,Entity;Finding,Finding,2026-01-26T18:30:58.599000,
ent_0b4bec6c,incorporating prior knowledge from external lexical resources,Entity;Method,Method,2026-01-26T18:25:56.372000,
ent_0b4bec6c,prior knowledge from external lexical resources,Entity;Concept,Concept,2026-01-26T18:25:56.742000,2026-01-26T18:26:00.781000
ent_0f3762ac,CNN-based and RNN-based models,Entity;Method,Method,2026-01-26T18:25:59.175000,
ent_14e81c5b,Direct Encoding,Entity;Method,Method,2026-01-26T18:30:57.971000,2026-01-26T18:30:59.109000
ent_1622b208,self-attention encoder,Entity;Method,Method,2026-01-26T18:25:57.524000,2026-01-26T18:25:59.804000
ent_16ee3c42,deep neural networks,Entity;Method,Method,2026-01-26T18:25:56.249000,2026-01-26T18:25:57.062000
ent_198a2ae8,Verga et al. (2018),Entity;Finding,Finding,2026-01-26T18:25:57.792000,
ent_19986475,characteristics of texts,Entity;Concept,Concept,2026-01-26T18:30:57.181000,
ent_1dc0c053,lexical knowledge bases,Entity;Concept,Concept,2026-01-26T18:25:56.627000,2026-01-26T18:25:58.166000
ent_1df71136,word semantic space into relational semantic space,Entity;Concept,Concept,2026-01-26T18:25:56.491000,
ent_1f5ca4c6,relation indicators,Entity;Concept,Concept,2026-01-26T18:25:56.627000,2026-01-26T18:25:58.775000
ent_204f7ca1,F1 score by 0.5,Entity;Metric,Metric,2026-01-26T18:25:59.999000,
ent_25ff8646,synonyms,Entity;Concept,Concept,2026-01-26T18:26:00.250000,
ent_26094bc9,informative linguistic clues,Entity;Concept,Concept,2026-01-26T18:25:56.849000,
ent_26c697c5,encoder-decoder models,Entity;Method,Method,2026-01-26T18:30:59.242000,
ent_290e0799,more complex semantics,Entity;Concept,Concept,2026-01-26T18:25:56.249000,
ent_2c0e00de,"existing CNN, RNN, and self-attention based models",Entity;Method,Method,2026-01-26T18:25:55.781000,2026-01-26T18:25:57.349000
ent_2c6e5a2e,Feed-backs dataset,Entity;Dataset,Dataset,2026-01-26T18:30:58.983000,
ent_315f9797,single forward pass,Entity;Concept,Concept,2026-01-26T18:30:59.609000,
ent_329046a4,state-of-the-art,Entity;Finding,Finding,2026-01-26T18:25:59.150000,
ent_33517d79,texts from word space into relational semantic space,Entity;Concept,Concept,2026-01-26T18:26:00.844000,
ent_33fbcbdb,positional information,Entity;Concept,Concept,2026-01-26T18:26:00.647000,
ent_34722c49,better prompt design or task description,Entity;Concept,Concept,2026-01-26T18:30:58.662000,
ent_355b75bf,multi-head knowledge-attention structure,Entity;Method,Method,2026-01-26T18:26:00.168000,
ent_3b418446,evaluation metrics,Entity;Concept,Concept,2026-01-26T18:25:58.935000,
ent_3c24a19b,generation length,Entity;Concept,Concept,2026-01-26T18:30:59.671000,
ent_3c2776d8,KISA,Entity;Method,Method,2026-01-26T18:25:59.719000,2026-01-26T18:25:59.804000
